Name,Address
Chicken Republic,"12 Coker Road, Ilupeju, Lagos, Nigeria"
Basilico Italian Restaurant,"15, Musa Yaradua Street, Victoria Island, Lagos, Nigeria"
Bottles Restaurant,"3 & 4 Water Corporation Road, Victoria Island, Lagos, Nigeria"
Golden Gate Restaurant,"Alfred Rewane Road, Ikoyi, Lagos, Nigeria"
355 Restaurant & Lounge,"9a, Oko- Awo Close, Victoria Island, Lagos, Nigeria"
Abibiz Restaurants,"Murtala Mohammed International Airport, Ikeja, Lagos, Nigeria"
China Town Express Restaurant,"14b, Idowu Taylor Street, Victoria Island, Lagos, Nigeria"
411 Restaurant and Bar,"5, Amodu Tijani Close, Victoria Island, Lagos, Nigeria"
Cactus Restaurant,"20/24 Ozumba Mbadiwe, Victoria Island, Lagos, Nigeria"
Marco-Polo Chinese Restaurant,"9a, Karimu Kotun Street, Victoria Island, Lagos, Nigeria"
La Mango Restaurant,"3a, Adekunle Fajuyi Way, Ikeja, Lagos, Nigeria"
Kilimanjaro Restaurant,"84,ozumba Mbadiwe Street, Victoria Island, Lagos, Nigeria"
Talindo Steak House Restaurant,"7b Karimu Kotun Street, Victoria Island, Lagos, Nigeria"
Uac Restaurants,"16,ikorudu Road, Lagos, Nigeria"
Bungalow Restaurant,"Plot 1296, Akin Adesola Street, Victoria Island, Lagos, Nigeria"
Viceroy Restaurant,"33, Akin Adesola Street, Victoria Island, Lagos, Nigeria"
CCX Restaurant and Lounge,"273 Kofo Abayomi Street, Victoria Island, Lagos, Nigeria"
360 Restaurant,"23b2, Idejo Street, Victoria Island, Lagos, Nigeria"
Black Bell Restaurant,"Block 2, Plot 69a Admiralty Way,, Lekki, Lagos, Nigeria"
Jevinik Restaurant,"21, Isaac John Street, Ikeja, Lagos, Nigeria"
Excel Food Services,"7b, Gardenia Way, Ajah, Lagos, Nigeria"
Indigo Bar Restaurant and Suites,"242b Muri Okunola Street, Victoria Island, Lagos, Nigeria"
Bags Local Food Store,"Emmanuel Keshi Street, Magodo, Lagos, Nigeria"
Natives Restaurants And Lounge,"5b, Ojo Olobun Close, Victoria Island, Lagos, Nigeria"
For Food Only,"21, Dele Onabolu Street, Magodo, Lagos, Nigeria"
Eli-Glo Mac-Lina Spot Restaurant And Bar,"6,alawode Street, Surulere, Lagos, Nigeria"
National Agency for Food and Drug Administration and Control,"Nafdac Office Complex, Oshodi, Lagos, Nigeria"
National Agency for Food and Drug Administration and Control,"3/5 Oshodi Expressway, Oshodi, Lagos, Nigeria"
Orchard Food and Confectioneries,"1, Yakubu Street, Ketu, Lagos, Nigeria"
FSB Food Mart,"58, A Kerele Street, Surulere, Lagos, Nigeria"
Gossard Hotel And Our House Restaurant,"31, Community Road, Amuwo Odofin, Lagos, Nigeria"
Lagos Food Bank Initiative,"Plot 10, Oba-lateef Adams Estate, Iloro, Agege, Lagos, Nigeria"
Food Bank Nigeria,"3, Alhaji Kanike Street, Ikoyi, Lagos, Nigeria"
Nigeria Food and Drinks Expo,"34, Aiyepe Avenue Via Abiodun Bus-stop, Somolu, Lagos, Somolu, Lagos, Nigeria"
Paradox Farms Food Train,"1 Awoniyi Elemo Street, Ajao, Lagos, Nigeria"
ITEM7 Food Services,"1, Alade Lawal Street, Anthony, Lagos, Nigeria"
Bobo food & beverages,"87, Iju Road, Agege, Lagos, Nigeria"
Bobo Food and Beverages,"87, Iju Road, Agege, Lagos, Nigeria"
Matel Food And Drinks,"12, Oyewunmi Close, Surulere, Lagos, Nigeria"
Food And Pharmaceutical,"7, Causeway Drive, Ijora, Lagos, Nigeria"
Josmi Hotel Bars & Restaurant,"2, Asami Road, Akoka, Lagos, Nigeria"
Josmi Hotel Bars & Restaurant,"2, Asami Road, Akoka, Lagos, Nigeria"
Africana Restaurant,"7,temidire Street, Apapa, Lagos, Nigeria"
Peculiar Food,"8,olutunfese Street, Ketu, Lagos, Nigeria"
Peculiar Food,"Moq 30 Ikeja Cantonment, Ikeja, Lagos, Nigeria"
Karma Hotel & Restaurant,"17, Burma Road, Apapa, Lagos, Nigeria"
